source	target	weight
Neutrophil count	Platelet count	0.6640836329670753
Neutrophil count	White blood cell count	0.7763592584477575
Eosinophil count	Lymphocyte count	0.6980906038419947
Eosinophil count	Monocyte count	0.6908245015678232
Eosinophil count	White blood cell count	0.7017770674542102
Eosinophil count	UC	0.642909974097618
Eosinophil count	IBD	0.6593414082525398
Eosinophil count	SLE	0.6176045518818207
Eosinophil count	Multiple sclerosis	0.6279134078836731
Eosinophil count	Primary biliary cirrhosis	0.6207971944729177
Eosinophil count	Hypothyroidism	0.6525945779572908
Eosinophil count	Vitiligo	0.5911206401678514
Eosinophil count	Respiratory ENT	0.6691146577855207
Lymphocyte count	Monocyte count	0.7155024768208756
Lymphocyte count	Platelet count	0.693033225173137
Lymphocyte count	White blood cell count	0.7760904446805613
Lymphocyte count	Multiple sclerosis	0.6353928170360434
Lymphocyte count	RA	0.6168615256932213
Lymphocyte count	Total protein	0.6781064761732251
Mean corpuscular hemoglobin	Platelet count	0.6937582903288799
Mean corpuscular hemoglobin	Red blood cell distribution width	0.7288309488288448
Mean corpuscular hemoglobin	Red blood cell count	0.7657301000422594
Monocyte count	Neutrophil count	0.6867597924936408
Monocyte count	White blood cell count	0.7541392171802886
Platelet count	Red blood cell count	0.6889810326312003
Platelet count	White blood cell count	0.701885739043377
Platelet count	Total bilirubin	0.6796326982164871
Platelet count	Total protein	0.6900997712801471
Red blood cell count	Red blood cell distribution width	0.6998780131460296
Red blood cell count	Total bilirubin	0.6757929066877263
Crohn disease	Eosinophil count	0.6517825843199324
Crohn disease	UC	0.6703126656962786
Crohn disease	IBD	0.8470803630210111
Celiac disease	Lymphocyte count	0.6133234225987362
Celiac disease	Multiple sclerosis	0.6120704604066074
IBD	UC	0.8503429535724938
SLE	Total protein	0.6172366823730959
Multiple sclerosis	Primary biliary cirrhosis	0.621918374299602
Eczema	Eosinophil count	0.6687582550662817
Eczema	Multiple sclerosis	0.6242264144583085
Eczema	RA	0.6186887396173693
Eczema	Hypothyroidism	0.6388121801123495
Eczema	Respiratory ENT	0.6901159549444756
Hypothyroidism	SLE	0.6166110959775446
Hypothyroidism	Primary biliary cirrhosis	0.6242218358177892
Hypothyroidism	RA	0.6263351051920033
Hypothyroidism	Total protein	0.6394929005647175
Fasting glucose	Hemoglobin A1c	0.6248354108563373
Alanine aminotransferase	Alkaline phosphatase	0.6787253801174779
Alanine aminotransferase	Sex hormone binding globulin	0.6866500351864936
Alanine aminotransferase	Testosterone male	0.6600733444031994
Alanine aminotransferase	Triglycerides	0.6917324104388366
Alkaline phosphatase	Fasting glucose	0.6134594409186229
Alkaline phosphatase	Total cholesterol	0.6765009801998696
Alkaline phosphatase	Sex hormone binding globulin	0.6782657705121694
Alkaline phosphatase	Coronary artery disease	0.6111923578996575
Blood glucose	Fasting glucose	0.6331105039429064
Blood glucose	Type 2 diabetes	0.6240593921258919
Blood glucose	Hemoglobin A1c	0.7010958648270174
Blood glucose	Sex hormone binding globulin	0.653362438000581
Blood glucose	Triglycerides	0.6476965392838934
Hemoglobin A1c	Red blood cell distribution width	0.6942368482405393
Hemoglobin A1c	Type 2 diabetes	0.6241598430225883
Hemoglobin A1c	Total bilirubin	0.6896823787777054
HDL cholesterol	Type 2 diabetes	0.6174275720791111
HDL cholesterol	Total cholesterol	0.70450118981069
HDL cholesterol	LDL cholesterol	0.672028855296444
HDL cholesterol	Sex hormone binding globulin	0.7004260331175601
HDL cholesterol	Triglycerides	0.7477295923297096
HDL cholesterol	WHRadjBMI	0.6745243530108905
LDL cholesterol	Total cholesterol	0.9415003846307822
LDL cholesterol	Triglycerides	0.6738781889849564
Sex hormone binding globulin	Testosterone male	0.7509307375450364
Sex hormone binding globulin	Triglycerides	0.7141927104970242
Sex hormone binding globulin	Vitamin D	0.6423885566888542
Testosterone male	Triglycerides	0.6794478217341866
Total bilirubin	Vitamin D	0.6420976823770946
Total protein	White blood cell count	0.6785514525317485
Triglycerides	WHRadjBMI	0.6770539110715859
Triglycerides	Vitamin D	0.6563867464269533
Basal metabolic rate	HDL cholesterol	0.678308751970567
Basal metabolic rate	Lung FVC	0.6732227999779067
Basal metabolic rate	Heel T score	0.6669144884889553
Basal metabolic rate	Height	0.7551317119719997
BMI	HDL cholesterol	0.6810106011597796
BMI	Basal metabolic rate	0.7780791762002377
BMI	General risk tolerance	0.6247653566904828
BMI	Insomnia	0.6301081188896629
BMI	Schizophrenia	0.6593106976997589
BMI	Sleep duration	0.6427081100046178
BMI	Worry	0.6562407324702981
BMI	Neuroticism	0.6588074096927763
BMI	Morning person	0.651190496970432
BMI	Drinks per week	0.6280127778745465
BMI	Smoking status	0.6717909936992665
BMI	Number of children ever born	0.6235783719828741
BMI	Hypertension	0.6684692918421246
ASD	Intelligence	0.6234706114276708
ASD	College education	0.6204196204515237
ADHD	ASD	0.6199700613027325
ADHD	College education	0.6325121448630914
ADHD	Years of education	0.6331087069182125
ADHD	Smoking status	0.6310792265358601
Alzheimer disease	Platelet count	0.6179728914719947
Alzheimer disease	White blood cell count	0.6131149716131798
Alzheimer disease	LDL cholesterol	0.6117322145340954
Bipolar disorder	MDD	0.6447100455171182
Bipolar disorder	Schizophrenia	0.6872083294082403
Bipolar disorder	College education	0.6421344805276974
General risk tolerance	Schizophrenia	0.6239617837383908
General risk tolerance	Smoking status	0.6254632871409223
Insomnia	Sleep duration	0.631449012472341
Insomnia	Neuroticism	0.636875129686011
Intelligence	Reaction time	0.6420186009577248
Intelligence	Verbal numeric reasoning	0.8735695723550686
Intelligence	Morning person	0.6438650178720577
Intelligence	Years of education	0.7239998432688055
MDD	Subjective well being	0.6166897618919469
MDD	Worry	0.6736540536581076
MDD	Neuroticism	0.6966831581445869
Subjective well being	Worry	0.6123126288562525
Verbal numeric reasoning	Years of education	0.7040399538965794
Neuroticism	Reaction time	0.638428785465513
Neuroticism	Sleep duration	0.6357397761804101
Neuroticism	Subjective well being	0.6280250955854797
Neuroticism	Worry	0.8120753174683153
Drinks per week	Smoking status	0.6298534075426367
College education	Intelligence	0.7265852103842027
College education	MDD	0.6490656809647725
College education	Reaction time	0.6395130654710153
College education	Schizophrenia	0.6628425593921727
College education	Verbal numeric reasoning	0.704149455727
College education	Morning person	0.6421227756324165
College education	Drinks per week	0.6235979293681536
College education	Years of education	0.8826235509206231
College education	Smoking status	0.6607182453275723
College education	Number of children ever born	0.6265480723587503
Smoking status	Years of education	0.6600973250165283
Number of children ever born	Years of education	0.623983024975478
Coronary atherosclerosis	Systolic blood pressure	0.632106530558493
Coronary atherosclerosis	Hypertension	0.6304338148939916
Heart failure	Hypertension	0.6279601043568113
Atrial fibrillation	Basal metabolic rate	0.6344591017454766
Atrial fibrillation	Heart failure	0.634960317722276
Atrial fibrillation	Diastolic blood pressure	0.638523324725837
Coronary artery disease	Coronary atherosclerosis	0.6307134897774235
Coronary artery disease	Systolic blood pressure	0.621331978736518
Diastolic blood pressure	Heart failure	0.6232423652608137
Diastolic blood pressure	Systolic blood pressure	0.8387794358104381
Diastolic blood pressure	Hypertension	0.7870726426317771
Diastolic blood pressure	Height	0.6681938625159701
Hypertension	Systolic blood pressure	0.789996804220479
Hypertension	Prostate cancer	0.6047306562302058
IPF	Lymphocyte count	0.5945914939391891
IPF	SLE	0.5899136411841868
IPF	Systolic blood pressure	0.5898700150334152
Asthma	Eosinophil count	0.6786021502990369
Asthma	Celiac disease	0.6112221622414854
Asthma	Eczema	0.7013966588961992
Asthma	Respiratory ENT	0.9315817212284628
FEV1 FVC ratio	WHRadjBMI	0.6598170179924712
FEV1 FVC ratio	Lung FVC	0.6731364882268825
FEV1 FVC ratio	Height	0.6656747026917605
Lung FVC	Melanoma	0.5912879843377498
Hair color	Vitiligo	0.5930258172115529
