node	cluster
Neutrophil count	3
Eosinophil count	1
Lymphocyte count	2
Mean corpuscular hemoglobin	0
Monocyte count	3
Platelet count	0
Red blood cell distribution width	0
Red blood cell count	0
White blood cell count	3
UC	1
Crohn disease	1
Celiac disease	2
IBD	1
SLE	2
Multiple sclerosis	2
Primary biliary cirrhosis	2
RA	2
Eczema	2
Hypothyroidism	2
Vitiligo	11
Fasting glucose	4
Type 2 diabetes	4
Alanine aminotransferase	5
Alkaline phosphatase	5
Total cholesterol	5
Blood glucose	4
Hemoglobin A1c	4
HDL cholesterol	5
LDL cholesterol	5
Sex hormone binding globulin	5
Testosterone male	5
Total bilirubin	0
Total protein	2
Triglycerides	5
WHRadjBMI	11
Basal metabolic rate	8
Vitamin D	5
BMI	8
ASD	7
ADHD	7
Alzheimer disease	3
Bipolar disorder	6
General risk tolerance	6
Insomnia	8
Intelligence	7
MDD	9
Reaction time	7
Schizophrenia	6
Sleep duration	8
Subjective well being	9
Verbal numeric reasoning	7
Worry	9
Neuroticism	9
Morning person	7
Drinks per week	7
College education	7
Years of education	7
Smoking status	7
Number of children ever born	7
Coronary atherosclerosis	10
Heart failure	10
Atrial fibrillation	10
Coronary artery disease	10
Diastolic blood pressure	10
Systolic blood pressure	10
Hypertension	10
IPF	2
Asthma	2
Respiratory ENT	2
FEV1 FVC ratio	11
Lung FVC	11
Hair color	11
Melanoma	11
Prostate cancer	10
Heel T score	11
Balding Type I	11
Height	11
Breast cancer	11
Hair pigmentation	11
Age at menarche	8
Age at menopause	0
