Trait,Cell type,Pct. of sig. cells,ICePop discovery,Seismic discovery,scDRS discovery
Hair pigmentation,Epithelial cell,0.272300469483568,True,False,False
Hair pigmentation,DN4 thymocyte,0.4026195899772209,True,False,False
Hair pigmentation,Endothelial cell,0.3547077922077922,True,False,False
LDL cholesterol,Basal cell of epidermis,0.4603701945894637,True,False,False
LDL cholesterol,Keratinocyte,0.4436213991769547,True,False,False
LDL cholesterol,Epithelial cell,0.2065727699530516,True,False,False
LDL cholesterol,Capillary endothelial cells,0.5611714690599906,True,False,False
LDL cholesterol,Macrophage,0.1160604822231303,True,False,False
LDL cholesterol,Epithelial cell of large intestine,0.5674882629107981,True,False,False
LDL cholesterol,Brush cell of epithelium proper of large intestine,0.0171428571428571,True,False,False
LDL cholesterol,Lymphoid progenitor cell,0.0,True,False,False
LDL cholesterol,Myeloid cell,0.4088419405320814,True,False,False
LDL cholesterol,Proerythroblast,0.1588785046728972,True,False,False
LDL cholesterol,Fibrocyte,0.1363636363636363,True,False,False
Hair color,Epithelial cell,0.1338028169014084,True,False,False
Hair color,DN4 thymocyte,0.424259681093394,True,False,False
Hair color,Endothelial cell,0.3863636363636363,True,False,False
Hair color,Basal epithelial cell of tracheobronchial tree,0.3836633663366336,True,False,False
Hair color,Intermediate monocyte,0.8333333333333334,True,False,False
Hair color,Neuron,0.018595041322314,True,False,False
Inflammatory bowel disease,Hematopoietic stem cell,0.4010889292196007,True,False,False
Inflammatory bowel disease,Epithelial cell of thymus,0.2181818181818181,True,False,False
Inflammatory bowel disease,Precursor B cell,0.7827102803738317,True,False,False
Inflammatory bowel disease,Thymocyte,0.9316923076923076,True,False,False
Inflammatory bowel disease,Megakaryocyte-erythroid progenitor cell,0.1375,True,False,False
Inflammatory bowel disease,Microglial cell,0.956285800422068,True,False,False
Inflammatory bowel disease,Professional antigen presenting cell,0.3153846153846154,True,False,False
Inflammatory bowel disease,Atrial myocyte,0.1066997518610421,True,False,False
Inflammatory bowel disease,Lung macrophage,1.0,True,False,False
Inflammatory bowel disease,Epithelial cell of proximal tubule,0.0305343511450381,True,False,False
Monocyte count,Epithelial cell,0.0258215962441314,True,False,False
Monocyte count,Endothelial cell,0.4646915584415584,True,False,False
Monocyte count,Respiratory basal cell,0.0588235294117647,True,False,False
Monocyte count,Epithelial cell of thymus,0.0787878787878787,True,False,False
Monocyte count,Mesenchymal stem cell of adipose,0.1364884851045848,True,False,False
Monocyte count,Regulatory T cell,0.4680851063829787,True,False,False
Monocyte count,Fibrocyte,0.6363636363636364,True,False,False
Monocyte count,Thymocyte,0.7975384615384615,True,False,False
Monocyte count,Pulmonary interstitial fibroblast,0.08,True,False,False
Monocyte count,Aortic endothelial cell,0.3618843683083512,True,False,False
Monocyte count,Professional antigen presenting cell,0.2,True,False,False
Monocyte count,Atrial myocyte,0.1836228287841191,True,False,False
Monocyte count,Epithelial cell of proximal tubule,0.0305343511450381,True,False,False
Prostate cancer,Hematopoietic stem cell,0.7123411978221416,True,False,False
Alzheimer disease,NK cell,0.4618015963511973,True,False,False
Alzheimer disease,Fibrocyte,0.4545454545454545,True,False,False
Alzheimer disease,Mature NK T cell,0.5728643216080402,True,False,False
Alzheimer disease,Plasma cell,1.0,True,False,False
Alzheimer disease,Professional antigen presenting cell,0.0692307692307692,True,False,False
Alzheimer disease,Atrial myocyte,0.1091811414392059,True,False,False
Basal metabolic rate,Basal cell of epidermis,0.2104888467014712,True,False,False
Basal metabolic rate,Bulge keratinocyte,0.4439324116743471,True,False,False
Basal metabolic rate,Immature B cell,0.7436332767402377,True,False,False
Basal metabolic rate,Intestinal crypt stem cell,0.4958834705509816,True,False,False
Basal metabolic rate,Capillary endothelial cells,0.4756731223429381,True,False,False
Basal metabolic rate,Vein endothelial cell,0.5263157894736842,True,False,False
Basal metabolic rate,Smooth muscle cell of trachea,0.488,True,False,False
Basal metabolic rate,Lymphoid progenitor cell,0.0,True,False,False
Basal metabolic rate,Fibroblast of cardiac tissue,0.7868059093224656,True,False,False
Basal metabolic rate,Lung neuroendocrine cell,1.0,True,False,False
Basal metabolic rate,Mesenchymal stem cell,0.6368089573128062,True,False,False
Atrial fibrillation,Endothelial cell,0.4182224025974026,True,False,False
Atrial fibrillation,Fibroblast,0.5240601503759399,True,False,False
Atrial fibrillation,Brain pericyte,0.7644628099173554,True,False,False
Atrial fibrillation,Adventitial cell,0.6643598615916955,True,False,False
Major depressive disorder,Basal cell,0.9509116409537168,True,False,False
Major depressive disorder,Lung neuroendocrine cell,1.0,True,False,False
Major depressive disorder,Enteroendocrine cell,0.9565217391304348,True,False,False
Standing height,Basal cell of epidermis,0.6575700047460845,True,False,False
Standing height,Keratinocyte,0.1868312757201646,True,False,False
Standing height,Bulge keratinocyte,0.6163594470046083,True,False,False
Standing height,DN4 thymocyte,0.2625284738041002,True,False,False
Standing height,Endothelial cell,0.6308847402597403,True,False,False
Standing height,Skeletal muscle satellite cell,0.728440366972477,True,False,False
Standing height,Epithelial cell of large intestine,0.3573943661971831,True,False,False
Standing height,Smooth muscle cell of trachea,0.304,True,False,False
Standing height,Proerythroblast,0.1308411214953271,True,False,False
Standing height,Endothelial cell of coronary artery,0.4524870081662954,True,False,False
Standing height,Aortic endothelial cell,0.310492505353319,True,False,False
Standing height,Interneuron,0.0041666666666666,True,False,False
Standing height,Mesangial cell,0.2365591397849462,True,False,False
Age at menarche,Hematopoietic stem cell,0.6206896551724138,True,False,False
Age at menarche,Lymphoid progenitor cell,0.0,True,False,False
Age at menarche,Oligodendrocyte,0.9665711556829036,True,False,False
Age at menarche,Bergmann glial cell,1.0,True,False,False
Age at menarche,Lung neuroendocrine cell,1.0,True,False,False
Ulcerative colitis,Epithelial cell,0.0892018779342723,True,False,False
Ulcerative colitis,Epithelial cell of thymus,0.1939393939393939,True,False,False
Ulcerative colitis,Enterocyte of epithelium of large intestine,0.3430369787568843,True,False,False
Ulcerative colitis,Thymocyte,0.9230769230769232,True,False,False
Ulcerative colitis,Megakaryocyte-erythroid progenitor cell,0.3,True,False,False
Ulcerative colitis,Professional antigen presenting cell,0.2230769230769231,True,False,False
Ulcerative colitis,Atrial myocyte,0.0744416873449131,True,False,False
Ulcerative colitis,Lung macrophage,0.8888888888888888,True,False,False
Ulcerative colitis,Epithelial cell of proximal tubule,0.0305343511450381,True,False,False
Balding Type I,Epidermal cell,0.9288617886178862,True,False,False
Balding Type I,Intestinal crypt stem cell,0.7808739708676378,True,False,False
Balding Type I,Fibroblast of cardiac tissue,0.6841569026999491,True,False,False
Balding Type I,Mesenchymal stem cell,0.695591322603219,True,False,False
Celiac disease,Myeloid cell,0.7312206572769953,True,False,False
Celiac disease,Proerythroblast,0.4953271028037383,True,False,False
Celiac disease,Fibrocyte,0.5454545454545454,True,False,False
Celiac disease,Thymocyte,0.68,True,False,False
Celiac disease,Megakaryocyte-erythroid progenitor cell,0.1,True,False,False
Celiac disease,Professional antigen presenting cell,0.2076923076923077,True,False,False
Celiac disease,Lung macrophage,1.0,True,False,False
Celiac disease,Epithelial cell of proximal tubule,0.0305343511450381,True,False,False
Hemoglobin A1c,Basal cell of epidermis,0.3334124347413384,True,False,False
Hemoglobin A1c,Endothelial cell,0.1787743506493506,True,False,False
Hemoglobin A1c,"CD4-positive, alpha-beta T cell",0.1222222222222222,True,False,False
Hemoglobin A1c,T cell,0.1504890895410083,True,False,False
Hemoglobin A1c,Capillary endothelial cells,0.6315540859707133,True,False,False
Hemoglobin A1c,B cell,0.7580387280156333,True,False,False
Hemoglobin A1c,Lymphoid progenitor cell,0.0,True,False,False
Hemoglobin A1c,Precursor B cell,0.7815420560747663,True,False,False
Hemoglobin A1c,Enterocyte of epithelium of large intestine,0.4063729346970889,True,False,False
Hemoglobin A1c,Leukocyte,0.4683544303797468,True,False,False
Hemoglobin A1c,Myeloid cell,0.543035993740219,True,False,False
Hemoglobin A1c,Smooth muscle cell,0.8543689320388349,True,False,False
Hemoglobin A1c,Fibrocyte,0.1363636363636363,True,False,False
Hemoglobin A1c,Thymocyte,0.2990769230769231,True,False,False
Hemoglobin A1c,Large intestine goblet cell,0.7555135475740391,True,False,False
Hemoglobin A1c,Granulocyte,0.1716115981119352,True,False,False
General intelligence,Immature B cell,0.6859083191850595,True,False,False
General intelligence,Lung neuroendocrine cell,1.0,True,False,False
Heel bone mineral density T score,Basal cell of epidermis,0.5196962505932605,True,False,False
Heel bone mineral density T score,Bulge keratinocyte,0.7860983102918587,True,False,False
Heel bone mineral density T score,Hematopoietic stem cell,0.2713248638838475,True,False,False
Heel bone mineral density T score,Oligodendrocyte precursor cell,0.0,True,False,False
Heel bone mineral density T score,Dendritic cell,0.064516129032258,True,False,False
Heel bone mineral density T score,Interneuron,0.0041666666666666,True,False,False
Heel bone mineral density T score,Neuronal stem cell,0.0103092783505154,True,False,False
Red blood cell count,Basal cell of epidermis,0.3913146654010441,True,False,False
Red blood cell count,Epithelial cell,0.0751173708920187,True,False,False
Red blood cell count,Endothelial cell,0.7274756493506493,True,False,False
Red blood cell count,T cell,0.2242287434161023,True,False,False
Red blood cell count,Macrophage,0.4556599918267266,True,False,False
Red blood cell count,"CD8-positive, alpha-beta T cell",0.2289719626168224,True,False,False
Red blood cell count,Mesenchymal stem cell of adipose,0.0910627508979505,True,False,False
Red blood cell count,Brush cell of epithelium proper of large intestine,0.0228571428571428,True,False,False
Red blood cell count,Enterocyte of epithelium of large intestine,0.5330448465774981,True,False,False
Red blood cell count,Myeloid cell,0.2934272300469484,True,False,False
Red blood cell count,Fibrocyte,0.2954545454545454,True,False,False
Red blood cell count,Thymocyte,0.2953846153846154,True,False,False
Red blood cell count,Aortic endothelial cell,0.550321199143469,True,False,False
Red blood cell count,Early pro-B cell,0.1527777777777778,True,False,False
Red blood cell count,Myeloid dendritic cell,0.3592493297587131,True,False,False
Red blood cell count,Professional antigen presenting cell,0.0076923076923076,True,False,False
Attention deficit hyperactivity disorder,Pancreatic B cell,0.9865871833084948,True,False,False
Vitiligo,"CD4-positive, alpha-beta T cell",0.5504273504273505,True,False,False
Vitiligo,Macrophage,0.0588475684511646,True,False,False
Vitiligo,Regulatory T cell,0.8297872340425532,True,False,False
Sex hormone binding globulin,Basal cell of epidermis,0.6694352159468439,True,False,False
Sex hormone binding globulin,Epidermal cell,0.6829268292682927,True,False,False
Sex hormone binding globulin,"CD4-positive, alpha-beta T cell",0.3572649572649573,True,False,False
Sex hormone binding globulin,T cell,0.2234762979683973,True,False,False
Sex hormone binding globulin,Macrophage,0.1655087862689007,True,False,False
Sex hormone binding globulin,B cell,0.4942263279445728,True,False,False
Sex hormone binding globulin,Mesenchymal stem cell of adipose,0.4591168392140292,True,False,False
Sex hormone binding globulin,Epithelial cell of large intestine,0.2582159624413145,True,False,False
Sex hormone binding globulin,Naive B cell,0.3562014193984454,True,False,False
Sex hormone binding globulin,Lymphoid progenitor cell,0.0,True,False,False
Sex hormone binding globulin,Precursor B cell,0.7827102803738317,True,False,False
Sex hormone binding globulin,Enterocyte of epithelium of large intestine,0.1754523996852871,True,False,False
Sex hormone binding globulin,Myeloid cell,0.2140062597809076,True,False,False
Sex hormone binding globulin,Fibrocyte,0.0681818181818181,True,False,False
Sex hormone binding globulin,Megakaryocyte-erythroid progenitor cell,0.3,True,False,False
Sex hormone binding globulin,Large intestine goblet cell,0.6049149338374291,True,False,False
Mean corpuscular hemoglobin,Keratinocyte,0.4098765432098765,True,False,False
Mean corpuscular hemoglobin,Epidermal cell,0.3922764227642276,True,False,False
Mean corpuscular hemoglobin,Epithelial cell,0.1643192488262911,True,False,False
Mean corpuscular hemoglobin,Neuron,0.0,True,False,False
Mean corpuscular hemoglobin,Epithelial cell of thymus,0.1151515151515151,True,False,False
Mean corpuscular hemoglobin,Brush cell of epithelium proper of large intestine,0.0228571428571428,True,False,False
Mean corpuscular hemoglobin,Regulatory T cell,0.6170212765957447,True,False,False
Mean corpuscular hemoglobin,Enterocyte of epithelium of large intestine,0.5330448465774981,True,False,False
Mean corpuscular hemoglobin,Myeloid cell,0.7609546165884195,True,False,False
Mean corpuscular hemoglobin,Fibrocyte,0.4545454545454545,True,False,False
Mean corpuscular hemoglobin,Pulmonary interstitial fibroblast,0.04,True,False,False
Mean corpuscular hemoglobin,Large intestine goblet cell,0.4732199117832388,True,False,False
Mean corpuscular hemoglobin,Professional antigen presenting cell,0.1076923076923077,True,False,False
Mean corpuscular hemoglobin,Epithelial cell of proximal tubule,0.0305343511450381,True,False,False
Mean corpuscular hemoglobin,Neutrophil,0.6601307189542484,True,False,False
Triglycerides,Endothelial cell,0.3719561688311688,True,False,False
Triglycerides,Capillary endothelial cells,0.7113840340103921,True,False,False
Triglycerides,Mesenchymal stem cell of adipose,0.7029368265370801,True,False,False
Triglycerides,Secretory cell,0.6341030195381883,True,False,False
Triglycerides,Pancreatic stellate cell,0.8333333333333334,True,False,False
Triglycerides,Fibroblast of cardiac tissue,0.5387162506367804,True,False,False
Triglycerides,Lung macrophage,0.6666666666666666,True,False,False
Triglycerides,Monocyte,0.4808743169398907,True,False,False
Bipolar disorder,DN4 thymocyte,0.3963553530751708,True,False,False
Bipolar disorder,"CD4-positive, alpha-beta T cell",0.3811965811965812,True,False,False
Reaction time,Keratinocyte stem cell,0.7428571428571429,True,False,False
Reaction time,Basal cell,0.9055633473585788,True,False,False
Total cholesterol,Immature B cell,0.8421052631578947,True,False,False
Total cholesterol,Epithelial cell,0.2065727699530516,True,False,False
Total cholesterol,Endothelial cell,0.4234983766233766,True,False,False
Total cholesterol,"CD4-positive, alpha-beta T cell",0.2299145299145299,True,False,False
Total cholesterol,T cell,0.1437170805116629,True,False,False
Total cholesterol,Capillary endothelial cells,0.6537553141237601,True,False,False
Total cholesterol,Macrophage,0.360032693093584,True,False,False
Total cholesterol,B cell,0.5095043524604725,True,False,False
Total cholesterol,Epithelial cell of large intestine,0.5534037558685446,True,False,False
Total cholesterol,Naive B cell,0.4393376140588036,True,False,False
Total cholesterol,Brush cell of epithelium proper of large intestine,0.0285714285714285,True,False,False
Total cholesterol,Lymphoid progenitor cell,0.0,True,False,False
Total cholesterol,Myeloid cell,0.5524256651017214,True,False,False
Total cholesterol,Proerythroblast,0.3738317757009345,True,False,False
Total cholesterol,Granulocyte monocyte progenitor cell,0.548,True,False,False
Total cholesterol,Fibrocyte,0.2954545454545454,True,False,False
Total cholesterol,Endothelial cell of coronary artery,0.3815887156644394,True,False,False
Total cholesterol,Aortic endothelial cell,0.0428265524625267,True,False,False
