Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
MATN1	4146	1	0.0554818610894805	True	0.17411477864558117	1.0	False
CBX6	23466	1	0.0554818610894805	True	0.12587458446789843	2.0	False
SOST	50964	1	0.0554818610894805	True	0.12256454095724462	3.0	False
CELSR3	1951	1	0.0554818610894805	True	0.11447739517032186	4.0	False
TTC9B	148014	1	0.0554818610894805	True	0.10296085866807964	5.0	False
ACKR1	2532	1	0.0554818610894805	True	0.09637855731621602	6.0	False
SLC35D3	340146	1	0.0554818610894805	True	0.09522760770670259	7.0	False
VWC2L	402117	1	0.0554818610894805	True	0.0920742981443076	8.0	False
NXPH4	11247	1	0.0554818610894805	True	0.09160700206660104	9.0	False
RPH3A	22895	1	0.0554818610894805	True	0.08664747838378295	10.0	True
GNG13	51764	1	0.0554818610894805	True	0.08380229226865184	11.0	False
JAKMIP3	282973	1	0.0554818610894805	True	0.08317318158607516	12.0	False
SEMA6C	10500	1	0.0554818610894805	True	0.08020591008784962	13.0	False
RTBDN	83546	1	0.0554818610894805	True	0.07698885834200528	14.0	False
DEFB136	613210	1	0.0554818610894805	True	0.0767942694513929	15.0	False
SLC1A7	6512	1	0.0554818610894805	True	0.07616136457593184	16.0	False
MYBPH	4608	1	0.0554818610894805	True	0.07424599709236147	17.0	False
NCAN	1463	1	0.0554818610894805	True	0.07228518829252112	18.0	False
NEFH	4744	1	0.0554818610894805	True	0.06959296871333642	19.0	False
CPLX1	10815	1	0.0554818610894805	True	0.06854322629932408	20.0	False
MRGPRE	116534	1	0.0554818610894805	True	0.0669186664282323	21.0	False
SEPTIN3	55964	1	0.0554818610894805	True	0.06308656090496648	22.0	False
NOG	9241	1	0.0554818610894805	True	0.062426466565091834	23.0	False
KNDC1	85442	1	0.0554818610894805	True	0.062132495255983224	24.0	False
SCN9A	6335	1	0.0554818610894805	True	0.06155901521691932	25.0	True
MYL1	4632	1	0.0554818610894805	True	0.060220792132689	26.0	False
HTR1B	3351	1	0.0554818610894805	True	0.05946696987469496	27.0	True
NPTXR	23467	1	0.0554818610894805	True	0.05895627054488158	28.0	False
C3orf80	401097	1	0.0554818610894805	True	0.05624018143087376	29.0	False
TRIM67	440730	1	0.0554818610894805	True	0.054631762357318446	30.0	False
GLDN	342035	1	0.0554818610894805	True	0.054287604903474986	31.0	False
CHRNA5	1138	1	0.0554818610894805	True	0.05393485010954592	32.0	False
PCDH10	57575	1	0.0554818610894805	True	0.05192797312799699	33.0	True
FRRS1L	23732	1	0.0554818610894805	True	0.050876729702347835	34.0	False
LHFPL5	222662	1	0.0554818610894805	True	0.049683990273459745	35.0	False
LINGO3	645191	1	0.0554818610894805	True	0.04951618187662442	36.0	False
ARSI	340075	1	0.0554818610894805	True	0.0493042947610215	37.0	False
TCERG1L	256536	1	0.0554818610894805	True	0.04676458158938126	38.0	False
NYAP2	57624	1	0.0554818610894805	True	0.04656502492987414	39.0	False
VGLL3	389136	1	0.0554818610894805	True	0.046483578839986224	40.0	False
PAQR9	344838	1	0.0554818610894805	True	0.04578619838137752	41.0	False
HTR3A	3359	1	0.0554818610894805	True	0.04541130662726285	42.0	True
PANX2	56666	1	0.0554818610894805	True	0.04467603902462568	43.0	False
PATE1	160065	1	0.0554818610894805	True	0.04449080824523141	44.0	False
NAT8L	339983	1	0.0554818610894805	True	0.042784999820120045	45.0	False
DNAJC6	9829	1	0.0554818610894805	True	0.04170791351966685	46.0	False
NT5DC2	64943	1	0.0554818610894805	True	0.04045737742789281	47.0	False
CADM3	57863	1	0.0554818610894805	True	0.04023306965724483	48.0	False
YPEL4	219539	1	0.0554818610894805	True	0.04004804395703074	49.0	False
ASPHD2	57168	1	0.0554818610894805	True	0.03992156770895723	50.0	False
CYSLTR2	57105	1	0.0554818610894805	True	0.03938431806545632	51.0	False
GABBR2	9568	1	0.0554818610894805	True	0.038438683682111834	52.0	True
CLGN	1047	1	0.0554818610894805	True	0.03840154938214859	53.0	False
ISLR2	57611	1	0.0554818610894805	True	0.03820069967381074	54.0	False
MMP24	10893	1	0.0554818610894805	True	0.037451236724799344	55.0	False
HS3ST2	9956	1	0.0554818610894805	True	0.03684550910586726	56.0	False
CYP46A1	10858	1	0.0554818610894805	True	0.03655885038253908	57.0	False
SLCO4C1	353189	1	0.0554818610894805	True	0.035608997218165454	58.0	False
SLC5A7	60482	1	0.0554818610894805	True	0.034253218171165875	59.0	False
SYNGR3	9143	1	0.0554818610894805	True	0.03409955866897028	60.0	False
MAPK11	5600	1	0.0554818610894805	True	0.03367207139692301	61.0	False
GPR85	54329	1	0.0554818610894805	True	0.03324518504324544	62.0	True
DPYSL4	10570	1	0.0554818610894805	True	0.03291966635306895	63.0	False
FSCN1	6624	1	0.0554818610894805	True	0.03240715573879601	64.0	False
CHI3L1	1116	1	0.0554818610894805	True	0.032349293260492705	65.0	False
SLC45A1	50651	1	0.0554818610894805	True	0.032097747824016636	66.0	True
FAM20C	56975	1	0.0554818610894805	True	0.03204371417967714	67.0	False
CRYBB2	1415	1	0.0554818610894805	True	0.03203709651180827	68.0	False
TACR1	6869	1	0.0554818610894805	True	0.03157574821786425	69.0	False
CNTFR	1271	1	0.0554818610894805	True	0.03059938929393563	70.0	False
FBXO41	150726	1	0.0554818610894805	True	0.030577291994026545	71.0	False
SRSF12	135295	1	0.0554818610894805	True	0.029956238637761246	72.0	False
STMN4	81551	1	0.0554818610894805	True	0.029814898341869907	73.0	False
CHST14	113189	1	0.0554818610894805	True	0.029519229422201535	74.0	False
TEX47	219557	1	0.0554818610894805	True	0.029405366012807126	75.0	False
OLFM2	93145	1	0.0554818610894805	True	0.029335776758585744	76.0	False
DISP2	85455	1	0.0554818610894805	True	0.02864599543673027	77.0	False
SCRN1	9805	1	0.0554818610894805	True	0.028598203654512943	78.0	False
CASKIN1	57524	1	0.0554818610894805	True	0.02821863240398949	79.0	True
NICN1	84276	1	0.0554818610894805	True	0.028077609430458787	80.0	False
NDN	4692	1	0.0554818610894805	True	0.027823653686196353	81.0	False
PCNX2	80003	1	0.0554818610894805	True	0.027726327669266405	82.0	False
DISP3	57540	1	0.0554818610894805	True	0.02754548556851856	83.0	False
FAM171B	165215	1	0.0554818610894805	True	0.027202753264108367	84.0	False
S1PR5	53637	1	0.0554818610894805	True	0.02718629262959582	85.0	False
SHD	56961	1	0.0554818610894805	True	0.027051663538461165	86.0	False
HJV	148738	1	0.0554818610894805	True	0.02704571653756917	87.0	False
PDCL2	132954	1	0.0554818610894805	True	0.026861599036024218	88.0	False
PRRT2	112476	1	0.0554818610894805	True	0.02621897194828961	89.0	False
MAP1A	4130	1	0.0554818610894805	True	0.02602115595261894	90.0	True
TMEM151A	256472	1	0.0554818610894805	True	0.025836257114695043	91.0	False
BEND4	389206	1	0.0554818610894805	True	0.02569840003540636	92.0	False
ANKRD34A	284615	1	0.0554818610894805	True	0.025278446053881794	93.0	False
TUB	7275	1	0.0554818610894805	True	0.02455761541271257	94.0	False
DLEU7	220107	1	0.0554818610894805	True	0.02450091594195156	95.0	False
HCN1	348980	1	0.0554818610894805	True	0.02415416582524647	96.0	True
NTRK3	4916	1	0.0554818610894805	True	0.024054461632915206	97.0	True
SERPINE2	5270	1	0.0554818610894805	True	0.02394620363271794	98.0	False
