Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Hair pigmentation	Basal cell of epidermis	0.969625059326056	True	True	True
Hair pigmentation	Keratinocyte	0.9004115226337449	True	True	True
Hair pigmentation	Bulge keratinocyte	0.9838709677419356	True	True	True
LDL cholesterol	Myeloid leukocyte	0.4976076555023923	True	True	True
LDL cholesterol	Secretory cell	0.9236234458259324	True	True	True
LDL cholesterol	Kupffer cell	0.9694656488549618	True	True	True
LDL cholesterol	Hepatocyte	0.9802065404475044	True	True	True
Hair color	Basal cell of epidermis	0.9639297579496916	True	True	True
Hair color	Keratinocyte	0.9004115226337449	True	True	True
Inflammatory bowel disease	DN4 thymocyte	0.8741457858769932	True	True	True
Inflammatory bowel disease	Mature alpha-beta T cell	0.5757575757575758	True	True	True
Inflammatory bowel disease	CD4-positive, alpha-beta T cell	0.7504273504273504	True	True	True
Inflammatory bowel disease	Macrophage	0.5815284021250511	True	True	True
Inflammatory bowel disease	B cell	0.9109966246224906	True	True	True
Inflammatory bowel disease	Naive B cell	0.8357553227441703	True	True	True
Inflammatory bowel disease	Non-classical monocyte	0.7248322147651006	True	True	True
Inflammatory bowel disease	T cell	0.6862302483069977	True	True	True
Inflammatory bowel disease	CD8-positive, alpha-beta T cell	0.8	True	True	True
Inflammatory bowel disease	NK cell	0.8244013683010262	True	True	True
Inflammatory bowel disease	Classical monocyte	0.504950495049505	True	True	True
Inflammatory bowel disease	Myeloid cell	0.7683881064162754	True	True	True
Inflammatory bowel disease	Promonocyte	0.8443349753694581	True	True	True
Inflammatory bowel disease	Myeloid leukocyte	0.4210526315789473	True	True	True
Inflammatory bowel disease	Proerythroblast	0.205607476635514	True	True	True
Inflammatory bowel disease	Mature NK T cell	0.5979899497487438	True	True	True
Inflammatory bowel disease	Dendritic cell	0.8870967741935484	True	True	True
Inflammatory bowel disease	Leukocyte	0.3037974683544304	True	True	True
Inflammatory bowel disease	Granulocyte	0.9551584625758598	True	True	True
Inflammatory bowel disease	Myeloid dendritic cell	0.7774798927613941	True	True	True
Inflammatory bowel disease	Neutrophil	0.3725490196078431	True	True	True
Monocyte count	Immature B cell	0.8166383701188455	True	True	True
Monocyte count	DN4 thymocyte	0.8109339407744874	True	True	True
Monocyte count	Mature alpha-beta T cell	0.5757575757575758	True	True	True
Monocyte count	Hematopoietic stem cell	0.9667271627344224	True	True	True
Monocyte count	Macrophage	0.6187167960768287	True	True	True
Monocyte count	Naive B cell	0.828996282527881	True	True	True
Monocyte count	Non-classical monocyte	0.7248322147651006	True	True	True
Monocyte count	NK cell	0.806157354618016	True	True	True
Monocyte count	Classical monocyte	0.504950495049505	True	True	True
Monocyte count	Promonocyte	0.8443349753694581	True	True	True
Monocyte count	Myeloid leukocyte	0.4976076555023923	True	True	True
Monocyte count	Granulocyte monocyte progenitor cell	0.784	True	True	True
Monocyte count	Proerythroblast	0.205607476635514	True	True	True
Monocyte count	Mature NK T cell	0.5175879396984925	True	True	True
Monocyte count	Kupffer cell	0.8740458015267175	True	True	True
Monocyte count	Leukocyte	0.3037974683544304	True	True	True
Monocyte count	Granulocytopoietic cell	0.9047619047619048	True	True	True
Monocyte count	Microglial cell	0.9660838106722942	True	True	True
Monocyte count	Monocyte	0.7619047619047619	True	True	True
Monocyte count	Granulocyte	0.9642616318273768	True	True	True
Monocyte count	Myeloid dendritic cell	0.7774798927613941	True	True	True
Monocyte count	Neutrophil	0.3725490196078431	True	True	True
Monocyte count	Basophil	0.9014084507042254	True	True	True
Alzheimer disease	Non-classical monocyte	0.7248322147651006	True	True	True
Alzheimer disease	Classical monocyte	0.504950495049505	True	True	True
Alzheimer disease	Promonocyte	0.8364532019704434	True	True	True
Alzheimer disease	Myeloid leukocyte	0.4976076555023923	True	True	True
Alzheimer disease	Hepatocyte	0.9802065404475044	True	True	True
Alzheimer disease	Basophil	0.9014084507042254	True	True	True
Basal metabolic rate	Pancreatic B cell	0.9523099850968704	True	True	True
Basal metabolic rate	Pulmonary interstitial fibroblast	0.82	True	True	True
Atrial fibrillation	Smooth muscle cell of trachea	0.168	True	True	True
Atrial fibrillation	Ventricular myocyte	0.91156462585034	True	True	True
Atrial fibrillation	Smooth muscle cell	0.7475728155339806	True	True	True
Atrial fibrillation	Atrial myocyte	0.5483870967741935	True	True	True
Major depressive disorder	Oligodendrocyte	0.9823304680038204	True	True	True
Major depressive disorder	Bergmann glial cell	0.9814814814814816	True	True	True
Major depressive disorder	Interneuron	0.8958333333333334	True	True	True
Major depressive disorder	Medium spiny neuron	0.9902912621359224	True	True	True
Major depressive disorder	Neuron	0.8161157024793388	True	True	True
Major depressive disorder	Neuronal stem cell	0.7731958762886598	True	True	True
Major depressive disorder	Oligodendrocyte precursor cell	0.9903846153846154	True	True	True
Verbal numeric reasoning	Bergmann glial cell	0.9814814814814816	True	True	True
Verbal numeric reasoning	Interneuron	0.8958333333333334	True	True	True
Verbal numeric reasoning	Medium spiny neuron	0.9902912621359224	True	True	True
Verbal numeric reasoning	Neuron	0.8161157024793388	True	True	True
Verbal numeric reasoning	Neuronal stem cell	0.7731958762886598	True	True	True
Verbal numeric reasoning	Oligodendrocyte precursor cell	0.9903846153846154	True	True	True
Verbal numeric reasoning	Pancreatic B cell	0.9523099850968704	True	True	True
Verbal numeric reasoning	Pancreatic D cell	0.9476439790575916	True	True	True
Verbal numeric reasoning	Astrocyte	0.9628378378378378	True	True	True
Standing height	Mesenchymal stem cell of adipose	0.9131628987956898	True	True	True
Standing height	Stromal cell	0.7823529411764706	True	True	True
Standing height	Fenestrated cell	0.8507462686567164	True	True	True
