Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Hair pigmentation	Bladder urothelial cell	0.952112676056338	True	True	False
Hair pigmentation	Epidermal cell	0.8048780487804879	True	True	False
Hair pigmentation	Basal cell	0.994389901823282	True	True	False
Hair pigmentation	Immature B cell	0.8166383701188455	True	True	False
Hair pigmentation	Keratinocyte stem cell	0.7428571428571429	True	True	False
Hair pigmentation	Luminal epithelial cell of mammary gland	0.7981770833333334	True	True	False
Hair pigmentation	Intestinal crypt stem cell	0.5699810006333123	True	True	False
LDL cholesterol	Epidermal cell	0.7601626016260162	True	True	False
LDL cholesterol	DN4 thymocyte	0.428246013667426	True	True	False
LDL cholesterol	Intestinal crypt stem cell	0.973400886637112	True	True	False
LDL cholesterol	Hematopoietic stem cell	0.5801572897761645	True	True	False
LDL cholesterol	Non-classical monocyte	0.7248322147651006	True	True	False
LDL cholesterol	Smooth muscle cell of the pulmonary artery	0.6396396396396397	True	True	False
LDL cholesterol	Classical monocyte	0.504950495049505	True	True	False
LDL cholesterol	Promonocyte	0.6049261083743842	True	True	False
LDL cholesterol	Enterocyte of epithelium of large intestine	0.7037765538945712	True	True	False
LDL cholesterol	Mature NK T cell	0.3266331658291457	True	True	False
LDL cholesterol	Pancreatic ductal cell	0.977635782747604	True	True	False
LDL cholesterol	Endothelial cell of hepatic sinusoid	0.9675850891410048	True	True	False
LDL cholesterol	Large intestine goblet cell	0.8481411468178954	True	True	False
Hair color	Bladder urothelial cell	0.952112676056338	True	True	False
Hair color	Bulge keratinocyte	0.9746543778801844	True	True	False
Hair color	Epidermal cell	0.7601626016260162	True	True	False
Hair color	Immature B cell	0.8166383701188455	True	True	False
Hair color	Luminal epithelial cell of mammary gland	0.7981770833333334	True	True	False
Inflammatory bowel disease	Immature B cell	0.8166383701188455	True	True	False
Inflammatory bowel disease	Granulocytopoietic cell	0.8509316770186336	True	True	False
Inflammatory bowel disease	Monocyte	0.7462919594067136	True	True	False
Monocyte count	Valve cell	0.9428571428571428	True	True	False
Monocyte count	CD4-positive, alpha-beta T cell	0.5606837606837607	True	True	False
Monocyte count	Capillary endothelial cells	0.7931034482758621	True	True	False
Monocyte count	B cell	0.907088292769586	True	True	False
Monocyte count	T cell	0.4582392776523702	True	True	False
Monocyte count	CD8-positive, alpha-beta T cell	0.7579439252336448	True	True	False
Monocyte count	Smooth muscle cell of the pulmonary artery	0.2342342342342342	True	True	False
Monocyte count	Fenestrated cell	0.503731343283582	True	True	False
Monocyte count	Vein endothelial cell	0.4473684210526316	True	True	False
Monocyte count	Precursor B cell	0.8329439252336449	True	True	False
Monocyte count	Late pro-B cell	0.9124087591240876	True	True	False
Monocyte count	Endothelial cell of coronary artery	0.7219747587230884	True	True	False
Monocyte count	Dendritic cell	0.6612903225806451	True	True	False
Prostate cancer	Pericyte cell	0.8947368421052632	True	True	False
Prostate cancer	Fibroblast of lung	0.9606625258799172	True	True	False
Alzheimer disease	B cell	0.7821993249244982	True	True	False
Alzheimer disease	Macrophage	0.4838577850429096	True	True	False
Alzheimer disease	Naive B cell	0.6988847583643123	True	True	False
Alzheimer disease	Proerythroblast	0.205607476635514	True	True	False
Alzheimer disease	Kupffer cell	0.9694656488549618	True	True	False
Alzheimer disease	Leukocyte	0.3037974683544304	True	True	False
Alzheimer disease	Granulocyte	0.9103169251517196	True	True	False
Alzheimer disease	Microglial cell	0.962918299668375	True	True	False
Alzheimer disease	Monocyte	0.697111631537861	True	True	False
Alzheimer disease	Myeloid dendritic cell	0.7774798927613941	True	True	False
Alzheimer disease	Neutrophil	0.4313725490196078	True	True	False
Basal metabolic rate	Basal cell	0.9509116409537168	True	True	False
Basal metabolic rate	Hematopoietic stem cell	0.7196007259528131	True	True	False
Basal metabolic rate	Valve cell	0.9428571428571428	True	True	False
Basal metabolic rate	Mesenchymal stem cell of adipose	0.8973167124445384	True	True	False
Basal metabolic rate	Stromal cell	0.7058823529411765	True	True	False
Basal metabolic rate	Smooth muscle cell of the pulmonary artery	0.6396396396396397	True	True	False
Basal metabolic rate	Fenestrated cell	0.8507462686567164	True	True	False
Basal metabolic rate	Chondrocyte	0.9309090909090908	True	True	False
Basal metabolic rate	Oligodendrocyte	0.9933142311365808	True	True	False
Basal metabolic rate	Pancreatic stellate cell	0.8125	True	True	False
