cell_type	beta	se	z	p	q	sig_pct	trait	discovery
basal cell of epidermis	35.88640959305222	4.862298824304852	7.380543831174916	6.657035709613865e-18	7.988442851536638e-16	0.9928808732795444	UKB_460K.pigment_HAIR	True
keratinocyte	27.45645811237925	4.128484215913783	6.650493662188349	9.525126684484991e-15	5.715076010690994e-13	0.994238683127572	UKB_460K.pigment_HAIR	True
bladder urothelial cell	34.60559105501376	5.437212489496378	6.364583161291734	1.2642082210645728e-12	5.0568328842582907e-11	0.9647887323943662	UKB_460K.pigment_HAIR	True
bulge keratinocyte	43.71334479381102	7.902480017038655	5.5315982703607	3.3781275497164416e-10	1.0134382649149326e-08	0.988863287250384	UKB_460K.pigment_HAIR	True
epidermal cell	27.1153777470446	5.6171132719322685	4.827279856102492	8.119292079353946e-08	1.9486300990449477e-06	0.9817073170731708	UKB_460K.pigment_HAIR	True
keratinocyte stem cell	17.948342177676025	4.65274197670602	3.8575838220848064	2.269077845608604e-05	0.0004538155691217	1.0	UKB_460K.pigment_HAIR	True
basal cell	23.464071138329068	6.618401465527674	3.545277701956135	5.540634444958448e-05	0.0009498230477071	0.9962599345488546	UKB_460K.pigment_HAIR	True
immature B cell	39.4275868282559	11.95862412611162	3.2970002579281577	0.0001997514324802	0.0029962714872031	0.8692699490662139	UKB_460K.pigment_HAIR	True
epithelial cell	12.713273282745613	3.1958011845660432	3.97811770774218	0.0009281320241287	0.0123750936550501	0.272300469483568	UKB_460K.pigment_HAIR	True
luminal epithelial cell of mammary gland	11.05879497917268	4.054976492128111	2.7272155586206286	0.003377774032113	0.0405332883853563	0.8020833333333334	UKB_460K.pigment_HAIR	True
DN4 thymocyte	22.480322915766248	8.518771129885888	2.638916173824637	0.0043428194253583	0.047376211913	0.4026195899772209	UKB_460K.pigment_HAIR	True
endothelial cell	18.575823263812637	6.794028055147006	2.734139911262215	0.0047887112582238	0.0478871125822382	0.3547077922077922	UKB_460K.pigment_HAIR	True
intestinal crypt stem cell	11.576829269537882	4.9088955078786185	2.358336870474722	0.0096877760173074	0.0894256247751459	0.5699810006333123	UKB_460K.pigment_HAIR	True
mature alpha-beta T cell	17.612194470906026	7.402090550164455	2.379354096190397	0.0131164300397901	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
basal epithelial cell of tracheobronchial tree	9.370719457006922	3.438901199363438	2.724916743389284	0.0163213293936718	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
respiratory basal cell	9.692099314606256	4.319600678129888	2.243748910328053	0.0140943674392598	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
intermediate monocyte	22.783651496962527	10.779208282196263	2.113666505043203	0.0162322655148137	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
neuron	17.26082293167269	6.629768452485298	2.603533299145935	0.0152971996554058	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
hematopoietic stem cell	12.27133302382327	5.550621760201314	2.2108033214964022	0.015300718287394	0.1030820803810853	0.0	UKB_460K.pigment_HAIR	False
CD4-positive, alpha-beta T cell	17.77443213896972	8.120210240380857	2.188912800629169	0.0225971686274604	0.1355830117647629	0.0	UKB_460K.pigment_HAIR	False
valve cell	14.121415220049574	7.210211636284163	1.9585299201185653	0.0244979950219163	0.1399885429823789	0.0	UKB_460K.pigment_HAIR	False
T cell	12.98907519322696	5.743177725387098	2.2616530106338435	0.026926234725856	0.146870371231942	0.0	UKB_460K.pigment_HAIR	False
skeletal muscle satellite cell	16.506506606188754	8.9870493198828	1.8366992344940212	0.0361161767102632	0.1733576482092636	0.0	UKB_460K.pigment_HAIR	False
epithelial cell of thymus	10.061981854111115	3.802166032274022	2.6463815016760823	0.0334951650142772	0.1733576482092636	0.0	UKB_460K.pigment_HAIR	False
bronchial smooth muscle cell	17.453750359039	9.345197020482995	1.8676706677005848	0.0358450078202396	0.1733576482092636	0.0	UKB_460K.pigment_HAIR	False
macrophage	11.760695804683852	4.6500387855121765	2.5291607978251465	0.053423493689457	0.2404581155564796	0.0	UKB_460K.pigment_HAIR	False
B cell	21.951028033062777	12.34409957881417	1.77826077089792	0.0561068936298452	0.2404581155564796	0.0	UKB_460K.pigment_HAIR	False
CD8-positive, alpha-beta T cell	16.322814136149958	9.123876253661855	1.7890218677175522	0.0545736297432977	0.2404581155564796	0.0	UKB_460K.pigment_HAIR	False
non-classical monocyte	20.94003025105236	13.521031478212544	1.5487006508929886	0.0730057206489389	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
stromal cell	9.888031227786806	5.685700427163948	1.7391052086645022	0.0646413886708503	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
smooth muscle cell of the pulmonary artery	13.401883192699282	9.063788072968665	1.4786183309678556	0.0745992977957248	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
mesenchymal stem cell of adipose	9.988713069104302	5.506842510924593	1.81387302238778	0.0649378856379276	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
epithelial cell of large intestine	14.25119891404135	7.518962471367895	1.8953677410027936	0.0686150685512638	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
club cell of bronchiole	6.7126315901416245	4.090868417956619	1.6408818139143595	0.0720866936087116	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
naive B cell	19.83626276877846	11.475748192710428	1.7285376461448292	0.0737102774488692	0.2557690210139138	0.0	UKB_460K.pigment_HAIR	False
NK cell	11.984045186705448	7.536220542896722	1.5901930043702115	0.0852164437688899	0.2840548125629666	0.0	UKB_460K.pigment_HAIR	False
Brush cell of epithelium proper of large intestine	18.78632677699767	11.003310913548432	1.7073339947039003	0.0896925147036665	0.2890258761315545	0.0	UKB_460K.pigment_HAIR	False
regulatory T cell	14.5628451575661	10.168016102168483	1.432220898475992	0.0915248607749922	0.2890258761315545	0.0	UKB_460K.pigment_HAIR	False
plasmacytoid dendritic cell	10.84168871568695	7.9554247133761615	1.3628045146927048	0.0967863297856969	0.2978040916482983	0.0	UKB_460K.pigment_HAIR	False
