cell_type	beta	se	z	p	q	sig_pct	trait	discovery
basal cell of epidermis	66.35935731401115	9.24030388068983	7.181512444919412	5.672338137090852e-17	6.806805764509024e-15	0.8673469387755102	UKB_460K.pigment_HAIR	True
keratinocyte	53.7955268257624	8.343430810390638	6.447650618588122	5.690530107877878e-14	3.4143180647267266e-12	0.8921810699588477	UKB_460K.pigment_HAIR	True
bladder urothelial cell	67.56548967028718	11.030519844669575	6.125322343981616	4.607446256879697e-12	1.8429785027518783e-10	0.9288732394366196	UKB_460K.pigment_HAIR	True
bulge keratinocyte	70.32090563923316	14.74638350272912	4.768688243203416	7.545969536033845e-08	2.2637908608101537e-06	0.9374039938556068	UKB_460K.pigment_HAIR	True
epidermal cell	52.99671211642803	12.022314068935858	4.408195611306216	9.5971420130531e-07	2.303314083132744e-05	0.8252032520325203	UKB_460K.pigment_HAIR	True
immature B cell	78.50974255681224	20.51861704182755	3.826268719610527	1.7444777225100523e-05	0.000348895544502	0.599320882852292	UKB_460K.pigment_HAIR	True
basal cell	38.82549993921545	12.448656141802802	3.118850701389265	0.0003752284088433	0.0064324870087438	0.7681159420289855	UKB_460K.pigment_HAIR	True
luminal epithelial cell of mammary gland	20.17415487550099	8.049637602205216	2.50621902158356	0.0080693175546664	0.1210397633199969	0.0	UKB_460K.pigment_HAIR	False
keratinocyte stem cell	25.29173469543457	11.068975762294835	2.284920957329032	0.0117690974888475	0.1283901544237915	0.0	UKB_460K.pigment_HAIR	False
intestinal crypt stem cell	20.88554884989108	8.916116790502045	2.3424489988892425	0.011659545580063	0.1283901544237915	0.0	UKB_460K.pigment_HAIR	False
hematopoietic stem cell	26.7866294815186	11.268000587777257	2.377230039424641	0.0116028448025158	0.1283901544237915	0.0	UKB_460K.pigment_HAIR	False
non-classical monocyte	56.46262893792009	24.3126484205387	2.3223561646300084	0.0130788543801026	0.1307885438010269	0.0	UKB_460K.pigment_HAIR	False
promonocyte	39.57289211258254	17.03237638491765	2.3233922981895088	0.0183810173054328	0.1696709289732266	0.0	UKB_460K.pigment_HAIR	False
classical monocyte	51.92593687357618	25.37547625185349	2.0463039336959583	0.0233466234891117	0.186772987912894	0.0	UKB_460K.pigment_HAIR	False
endothelial cell	30.22126088406792	12.38493938085554	2.440162196577522	0.0222585131036316	0.186772987912894	0.0	UKB_460K.pigment_HAIR	False
regulatory T cell	52.12160873413086	28.529509676180595	1.8269367166042607	0.0285251295948191	0.2139384719611432	0.0	UKB_460K.pigment_HAIR	False
mature alpha-beta T cell	27.74139523132439	13.78658070693718	2.012202722417269	0.0482711134769232	0.3047612966434199	0.0	UKB_460K.pigment_HAIR	False
bronchial smooth muscle cell	32.30123765797405	17.759817406313672	1.81878208086142	0.0468555899225299	0.3047612966434199	0.0	UKB_460K.pigment_HAIR	False
B cell	46.40125887008102	23.38166130896376	1.984515054637812	0.0507935494405699	0.3047612966434199	0.0	UKB_460K.pigment_HAIR	False
DN4 thymocyte	31.707970966180824	16.056182234683867	1.9748138444571612	0.0505243616630324	0.3047612966434199	0.0	UKB_460K.pigment_HAIR	False
CD4-positive, alpha-beta T cell	33.1840755173681	16.790938847403197	1.976308520860356	0.0556725845639034	0.3181290546508769	0.0	UKB_460K.pigment_HAIR	False
myeloid cell	30.32046660185565	14.815619215812225	2.046520375570642	0.0744675346857207	0.3436963139340956	0.0	UKB_460K.pigment_HAIR	False
respiratory basal cell	14.225433349609377	9.324832405445656	1.5255430586936654	0.0645679119838125	0.3436963139340956	0.0	UKB_460K.pigment_HAIR	False
microglial cell	40.55968931592584	22.572005075001528	1.796902365614194	0.0732562221905689	0.3436963139340956	0.0	UKB_460K.pigment_HAIR	False
epithelial cell of thymus	54.416329043974656	28.4011332679008	1.9159914687445396	0.0726554441243547	0.3436963139340956	0.0	UKB_460K.pigment_HAIR	False
T cell	25.04591388099385	12.335782138943998	2.0303466451408894	0.0664155012446557	0.3436963139340956	0.0	UKB_460K.pigment_HAIR	False
basal epithelial cell of tracheobronchial tree	23.00070593249885	12.210988592366707	1.883607191876092	0.0891031933729488	0.3818708287412091	0.0	UKB_460K.pigment_HAIR	False
naive B cell	40.90214106138704	21.91189002404537	1.8666642182167952	0.0862642758184313	0.3818708287412091	0.0	UKB_460K.pigment_HAIR	False
skeletal muscle satellite cell	25.25002045500719	16.69862263937109	1.5121019859131426	0.1070177378663094	0.4334283435821016	0.0	UKB_460K.pigment_HAIR	False
macrophage	21.845013773179243	9.596856223796973	2.2762676926440726	0.1083570858955254	0.4334283435821016	0.0	UKB_460K.pigment_HAIR	False
epithelial cell	18.197830956950668	9.022420378429729	2.0169566694605554	0.1146476586246583	0.4437973882244837	0.0	UKB_460K.pigment_HAIR	False
vein endothelial cell	28.97047929881744	22.116623950539783	1.3098960928035484	0.1272391451798212	0.4626878006538952	0.0	UKB_460K.pigment_HAIR	False
proerythroblast	18.4306276591368	12.164610807097816	1.5151021229863666	0.1259934175317035	0.4626878006538952	0.0	UKB_460K.pigment_HAIR	False
valve cell	16.510645418452235	13.779647810383253	1.198190668270282	0.1384068795147273	0.4865857325334038	0.0	UKB_460K.pigment_HAIR	False
chondrocyte	8.121568671872591	6.51594462921548	1.246414623515674	0.1540307684571131	0.4865857325334038	0.0	UKB_460K.pigment_HAIR	False
CD8-positive, alpha-beta T cell	25.63719567849477	17.706150493327584	1.4479260010896176	0.1540854819689112	0.4865857325334038	0.0	UKB_460K.pigment_HAIR	False
NK cell	20.36917438603621	15.576251884551768	1.3077070489748546	0.1472775740612493	0.4865857325334038	0.0	UKB_460K.pigment_HAIR	False
granulocyte monocyte progenitor cell	11.334984181833796	9.049269164175051	1.2525855929567895	0.1518130066341144	0.4865857325334038	0.0	UKB_460K.pigment_HAIR	False
mesenchymal stem cell of adipose	14.634886984242224	9.53531601906422	1.534808804971151	0.1691297746227509	0.507389323868253	0.0	UKB_460K.pigment_HAIR	False
