Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Hair pigmentation	Endothelial cell	0.3632305194805195	True	False	False
Hair pigmentation	DN4 thymocyte	0.3490888382687927	True	False	False
LDL cholesterol	Basal cell of epidermis	0.4596582819174181	True	False	False
LDL cholesterol	Keratinocyte	0.4172839506172839	True	False	False
LDL cholesterol	Epithelial cell of large intestine	0.5305164319248826	True	False	False
LDL cholesterol	Capillary endothelial cells	0.5611714690599906	True	False	False
LDL cholesterol	Myeloid cell	0.3935837245696401	True	False	False
Hair color	Endothelial cell	0.3800730519480519	True	False	False
Hair color	DN4 thymocyte	0.4151480637813212	True	False	False
Inflammatory bowel disease	Precursor B cell	0.7429906542056075	True	False	False
Inflammatory bowel disease	Thymocyte	0.8818461538461538	True	False	False
Inflammatory bowel disease	Microglial cell	0.9384986433524268	True	False	False
Inflammatory bowel disease	Atrial myocyte	0.0	True	False	False
Monocyte count	Endothelial cell	0.3492288961038961	True	False	False
Monocyte count	Mesenchymal stem cell of adipose	0.1364884851045848	True	False	False
Monocyte count	Thymocyte	0.7046153846153846	True	False	False
Monocyte count	Aortic endothelial cell	0.019271948608137	True	False	False
Monocyte count	Atrial myocyte	0.0248138957816377	True	False	False
Prostate cancer	Hematopoietic stem cell	0.7084089534180278	True	False	False
Prostate cancer	Fibroblast of cardiac tissue	0.6874681609780947	True	False	False
Alzheimer disease	NK cell	0.4492588369441277	True	False	False
Alzheimer disease	Atrial myocyte	0.0248138957816377	True	False	False
Basal metabolic rate	Basal cell of epidermis	0.2090650213573801	True	False	False
Basal metabolic rate	Bulge keratinocyte	0.4819508448540706	True	False	False
Basal metabolic rate	Immature B cell	0.7385398981324278	True	False	False
Basal metabolic rate	DN4 thymocyte	0.2522779043280182	True	False	False
Basal metabolic rate	Intestinal crypt stem cell	0.4958834705509816	True	False	False
Basal metabolic rate	Capillary endothelial cells	0.4752007557864903	True	False	False
Basal metabolic rate	Smooth muscle cell of trachea	0.168	True	False	False
Basal metabolic rate	Mesenchymal stem cell	0.4597620713785864	True	False	False
Basal metabolic rate	Fibroblast of cardiac tissue	0.7529291900152827	True	False	False
Atrial fibrillation	Endothelial cell	0.351663961038961	True	False	False
Atrial fibrillation	Non-classical monocyte	0.7248322147651006	True	False	False
Atrial fibrillation	Fibroblast	0.3849624060150376	True	False	False
Major depressive disorder	Basal cell	0.9509116409537168	True	False	False
Major depressive disorder	Epithelial cell of thymus	0.2303030303030303	True	False	False
Major depressive disorder	Enteroendocrine cell	0.9565217391304348	True	False	False
Standing height	Basal cell of epidermis	0.649264356905553	True	False	False
Standing height	Keratinocyte	0.1621399176954732	True	False	False
Standing height	Bulge keratinocyte	0.6163594470046083	True	False	False
Standing height	Endothelial cell	0.5915178571428571	True	False	False
Standing height	DN4 thymocyte	0.2585421412300683	True	False	False
Standing height	Epithelial cell of large intestine	0.2206572769953051	True	False	False
Standing height	Skeletal muscle satellite cell	0.689908256880734	True	False	False
Standing height	Endothelial cell of coronary artery	0.3671121009651076	True	False	False
Standing height	Aortic endothelial cell	0.0813704496788008	True	False	False
Age at menarche	Hematopoietic stem cell	0.6179673321234119	True	False	False
Age at menarche	Oligodendrocyte	0.9531996179560648	True	False	False
Ulcerative colitis	Epithelial cell	0.0352112676056338	True	False	False
Ulcerative colitis	Enterocyte of epithelium of large intestine	0.2804878048780488	True	False	False
Ulcerative colitis	Thymocyte	0.8818461538461538	True	False	False
Balding Type I	Epidermal cell	0.6077235772357723	True	False	False
Balding Type I	Intestinal crypt stem cell	0.7808739708676378	True	False	False
Balding Type I	Mesenchymal stem cell	0.5262421273617914	True	False	False
Balding Type I	Fibroblast of cardiac tissue	0.5641874681609781	True	False	False
Balding Type I	Aortic endothelial cell	0.0	True	False	False
Celiac disease	Myeloid cell	0.6025039123630673	True	False	False
Celiac disease	Proerythroblast	0.205607476635514	True	False	False
Celiac disease	Thymocyte	0.6215384615384615	True	False	False
Hemoglobin A1c	Basal cell of epidermis	0.3334124347413384	True	False	False
Hemoglobin A1c	Endothelial cell	0.1684253246753246	True	False	False
