celltype	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	setting	q	discovery	mix_q	mix_discovery
B cell	5629.0	1000.0	0.1008991	1.3076487	0.022977022	2.94926	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.49664622857142854	False
Bergmann glial cell	54.0	1000.0	0.53746253	-0.13260366	0.2937063	0.5959565	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
Brush cell of epithelium proper of large intestine	175.0	1000.0	0.026973028	2.0865898	0.62837166	-0.38530597	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.8970340689655173	False
CD4-positive, alpha-beta T cell	1170.0	1000.0	0.0939061	1.4100665	0.76623374	-0.69349694	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.9210020769230769	False
CD8-positive, alpha-beta T cell	1070.0	1000.0	0.12787212	1.1993122	0.14185815	1.0618986	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8704338782608696	False
DN4 thymocyte	1756.0	1000.0	0.14385614	1.0805163	0.43256745	0.053281467	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
Kupffer cell	262.0	1000.0	0.977023	-1.628874	0.53746253	-0.18207656	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
NK cell	877.0	1000.0	0.1008991	1.3234977	0.63136864	-0.4007688	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8970340689655173	False
T cell	1329.0	1000.0	0.068931065	1.4945763	0.8251748	-0.91190135	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.9295788813559323	False
adventitial cell	289.0	1000.0	0.65134865	-0.48623964	0.43756244	0.16696809	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
aortic endothelial cell	467.0	1000.0	0.98101896	-1.7621452	0.4885115	0.01582594	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
astrocyte	592.0	1000.0	0.23476523	0.6700978	0.05294705	1.8410089	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.5794206	False
atrial myocyte	403.0	1000.0	0.84915084	-0.98140544	0.7242757	-0.66872156	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
basal cell	2139.0	1000.0	0.6453546	-0.4053555	0.7942058	-0.7931579	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
basal cell of epidermis	4214.0	1000.0	0.15484515	0.97224176	0.3096903	0.28588417	0.0	0.0	0.0	melanoma	scDRS	0.7515561230769231	False	0.8874995806451612	False
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.06593407	1.6801946	0.3926074	0.17368889	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
basophil	71.0	1000.0	0.7692308	-0.72660404	0.85114884	-1.0626234	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
bladder cell	1012.0	1000.0	0.46253747	0.035392504	0.7982018	-0.8079218	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.9210020769230769	False
bladder urothelial cell	1420.0	1000.0	0.40859142	0.1581117	0.4145854	0.0043050344	0.0	0.0	0.0	melanoma	scDRS	0.9079809333333333	False	0.8874995806451612	False
brain pericyte	484.0	1000.0	0.978022	-1.6570545	0.8901099	-1.0819682	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
bronchial smooth muscle cell	2117.0	1000.0	0.9210789	-1.2885133	0.5174825	-0.2088368	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
bulge keratinocyte	2604.0	1000.0	0.96303695	-1.6310364	0.45854145	-0.10234717	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
chondrocyte	275.0	1000.0	0.93606395	-1.3346738	0.9100899	-1.1557549	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.27172828	0.5681233	0.04895105	1.7113537	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.5794206	False
classical monocyte	202.0	1000.0	0.22577423	0.74092174	0.35864136	0.36482054	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.8874995806451612	False
club cell of bronchiole	22.0	1000.0	0.8941059	-1.1402897	0.5514485	-0.042118955	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
dendritic cell	62.0	1000.0	0.037962038	2.0494103	0.10889111	1.2439427	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.8704338782608696	False
early pro-B cell	72.0	1000.0	0.2017982	0.7575131	0.9140859	-1.3434626	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.9295788813559323	False
endocardial cell	375.0	1000.0	0.97202796	-1.6576533	0.5024975	-0.030754177	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
endothelial cell	4928.0	1000.0	0.96703297	-1.6585386	0.61338663	-0.42852905	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
endothelial cell of coronary artery	2694.0	1000.0	0.93406594	-1.3515532	0.3866134	0.085071005	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.999001	-2.2332358	0.6813187	-0.493671	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9186319550561798	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.9030969	-1.2931578	0.3986014	0.2808945	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.7732268	-0.78076184	0.24475524	0.611119	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
enteroendocrine cell	161.0	1000.0	0.35964036	0.2738218	0.6433566	-0.42360955	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8970340689655173	False
ependymal cell	55.0	1000.0	0.2847153	0.47587729	0.6433566	-0.43698886	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.8970340689655173	False
epidermal cell	492.0	1000.0	0.027972028	2.2243717	0.02897103	2.0163538	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.49664622857142854	False
epithelial cell	426.0	1000.0	0.7532467	-0.73860735	0.31968033	0.44087356	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
epithelial cell of large intestine	1704.0	1000.0	0.5764236	-0.24256828	0.23576424	0.57134944	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8841159000000001	False
epithelial cell of proximal tubule	393.0	1000.0	0.5334665	-0.13936646	0.012987013	2.5250077	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.47952048	False
epithelial cell of thymus	165.0	1000.0	0.36063936	0.18936683	0.9030969	-1.2624726	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.9295788813559323	False
fenestrated cell	268.0	1000.0	0.93206793	-1.4478836	0.011988012	2.1208973	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.47952048	False
fibroblast	1330.0	1000.0	0.36263737	0.30772993	0.053946055	1.7522261	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.5794206	False
fibroblast of cardiac tissue	3926.0	1000.0	0.53046954	-0.14998044	0.8881119	-0.97495323	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.9295788813559323	False
fibroblast of lung	483.0	1000.0	0.2017982	0.75188565	0.7192807	-0.5790698	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.9210020769230769	False
fibrocyte	44.0	1000.0	0.007992008	2.476287	0.95004994	-1.7733626	0.0	0.0	0.0	melanoma	scDRS	0.31968031999999996	False	0.9580335529411764	False
granulocyte	2966.0	1000.0	0.12687312	0.8698342	0.015984016	2.9239619	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.47952048	False
granulocyte monocyte progenitor cell	250.0	1000.0	0.43256745	-0.065329194	0.7852148	-0.80596197	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.9210020769230769	False
granulocytopoietic cell	483.0	1000.0	0.08791209	1.2968297	0.37462538	0.12532523	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
hematopoietic stem cell	3306.0	1000.0	0.12987013	1.1327089	0.075924076	1.6694468	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.6507777942857143	False
hepatocyte	1162.0	1000.0	0.984016	-1.7762032	0.26073927	0.56151485	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
immature B cell	589.0	1000.0	0.22977023	0.7043188	0.5444555	-0.1252888	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.8970340689655173	False
intermediate monocyte	12.0	1000.0	0.5654346	-0.18643267	0.16083916	1.0230212	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8704338782608696	False
interneuron	240.0	1000.0	0.998002	-2.2970498	0.83016986	-0.89844763	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
intestinal crypt stem cell	1579.0	1000.0	0.8021978	-0.8879978	0.53846157	-0.23270948	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
keratinocyte	1215.0	1000.0	0.27272728	0.54777384	0.18481518	0.8296925	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.879120888888889	False
