Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Hair pigmentation	Intestinal crypt stem cell	0.0	False	True	False
Hair pigmentation	Valve cell	0.0	False	True	False
Hair pigmentation	Respiratory basal cell	0.0	False	True	False
Hair pigmentation	Non-classical monocyte	0.0	False	True	False
Hair pigmentation	Type I pneumocyte	0.0	False	True	False
Hair pigmentation	Pericyte cell	0.0	False	True	False
LDL cholesterol	Luminal epithelial cell of mammary gland	0.0	False	True	False
LDL cholesterol	Respiratory basal cell	0.0	False	True	False
LDL cholesterol	Fenestrated cell	0.0	False	True	False
LDL cholesterol	Vein endothelial cell	0.0	False	True	False
LDL cholesterol	Intermediate monocyte	0.0	False	True	False
LDL cholesterol	Pancreatic acinar cell	0.0	False	True	False
Hair color	Keratinocyte stem cell	0.0	False	True	False
Hair color	Respiratory basal cell	0.0	False	True	False
Hair color	Non-classical monocyte	0.0	False	True	False
Hair color	Classical monocyte	0.0	False	True	False
Hair color	Type I pneumocyte	0.0	False	True	False
Inflammatory bowel disease	Secretory cell	0.0	False	True	False
Inflammatory bowel disease	Plasma cell	0.0	False	True	False
Inflammatory bowel disease	Plasmacytoid dendritic cell	0.0	False	True	False
Monocyte count	Vein endothelial cell	0.0	False	True	False
Monocyte count	Plasma cell	0.0	False	True	False
Monocyte count	Lung macrophage	0.0	False	True	False
Monocyte count	Lymphoid progenitor cell	0.0	False	True	False
Monocyte count	Megakaryocyte-erythroid progenitor cell	0.0	False	True	False
Monocyte count	Endothelial cell of lymphatic vessel	0.0	False	True	False
Monocyte count	Early pro-B cell	0.0	False	True	False
Monocyte count	Endothelial cell of hepatic sinusoid	0.0	False	True	False
Monocyte count	Pericyte cell	0.0	False	True	False
Alzheimer disease	Immature B cell	0.0	False	True	False
Alzheimer disease	Lung macrophage	0.0	False	True	False
Alzheimer disease	Megakaryocyte-erythroid progenitor cell	0.0	False	True	False
Basal metabolic rate	Respiratory basal cell	0.0	False	True	False
Basal metabolic rate	Late pro-B cell	0.0	False	True	False
Basal metabolic rate	Type I pneumocyte	0.0	False	True	False
Basal metabolic rate	Medium spiny neuron	0.0	False	True	False
Basal metabolic rate	Neuronal stem cell	0.0	False	True	False
Basal metabolic rate	Pericyte cell	0.0	False	True	False
