source	target	weight
Neutrophil count	White blood cell count	0.9027471393483253
Neutrophil count	Total protein	0.7783935860797786
Eosinophil count	Lymphocyte count	0.894664492980365
Eosinophil count	White blood cell count	0.7601836027027523
Eosinophil count	Hypothyroidism	0.8591206114439472
Lymphocyte count	Monocyte count	0.8321071448266725
Lymphocyte count	White blood cell count	0.8682466858339006
Lymphocyte count	Total protein	0.8466951907783065
Mean corpuscular hemoglobin	Red blood cell distribution width	0.9318933033941257
Mean corpuscular hemoglobin	Red blood cell count	0.825575811218136
Monocyte count	Neutrophil count	0.8783823966275628
Monocyte count	White blood cell count	0.9567229701823785
Platelet count	Red blood cell count	0.8505341448817773
Platelet count	White blood cell count	0.8349012046709721
Platelet count	Total protein	0.8155947268529974
Red blood cell count	Red blood cell distribution width	0.8500558705260004
Red blood cell count	Total bilirubin	0.8722149804057857
Crohn disease	UC	0.8920153044659114
Crohn disease	IBD	0.9661707625659333
Crohn disease	Multiple sclerosis	0.901026851278282
Crohn disease	Eczema	0.902849840875419
Celiac disease	UC	0.8351380507397895
Celiac disease	Multiple sclerosis	0.8547709826315297
Celiac disease	RA	0.8404947401613063
IBD	UC	0.9301092928582723
IBD	Multiple sclerosis	0.8772013885402596
SLE	UC	0.8772360400486235
Primary biliary cirrhosis	UC	0.8716599959297539
Primary biliary cirrhosis	SLE	0.8876113739158638
Primary biliary cirrhosis	RA	0.8508401897216769
RA	SLE	0.8718038023450778
RA	Respiratory ENT	0.8777125176599082
Eczema	Multiple sclerosis	0.8706603283546337
Eczema	Respiratory ENT	0.8901377637689576
Hypothyroidism	Lymphocyte count	0.8495242070025364
Hypothyroidism	IBD	0.8462938374276485
Fasting glucose	Type 2 diabetes	0.8720694961571582
Alanine aminotransferase	Alkaline phosphatase	0.9067007868543284
Alanine aminotransferase	Hemoglobin A1c	0.8977682916980294
Alanine aminotransferase	HDL cholesterol	0.8947605803925018
Alanine aminotransferase	Sex hormone binding globulin	0.934717300608273
Alanine aminotransferase	Triglycerides	0.8884879325167047
Alanine aminotransferase	Balding Type I	0.7975673970360142
Alkaline phosphatase	Total cholesterol	0.9048519711934155
Alkaline phosphatase	LDL cholesterol	0.8890128303996696
Alkaline phosphatase	Total bilirubin	0.9021449179280725
Blood glucose	Fasting glucose	0.8782713937736067
Blood glucose	Testosterone male	0.8313590218800334
Hemoglobin A1c	Mean corpuscular hemoglobin	0.7608966796821965
Hemoglobin A1c	Red blood cell distribution width	0.8201017025474359
Hemoglobin A1c	Red blood cell count	0.8874485190511088
Hemoglobin A1c	Sex hormone binding globulin	0.8898774833893692
