Gene	gene-name	Entrez	ensembl-id	chromosome	Cell group	FDR	Associated	Influence score	Influence score rank	genetic-category	gene-score	eagle	syndromic	number-of-reports
RPH3A	rabphilin 3A	22895	ENSG00000089169	12	1	0.0554818610894805	True	0.08664747838378295	10.0	Rare Single Gene Mutation, Functional	3.0		0	7
SCN9A	sodium voltage-gated channel alpha subunit 9	6335	ENSG00000169432	2	1	0.0554818610894805	True	0.06155901521691932	25.0	Rare Single Gene Mutation	2.0		0	11
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	3351	ENSG00000135312	6	1	0.0554818610894805	True	0.05946696987469496	27.0	Rare Single Gene Mutation, Genetic Association	2.0		0	6
PCDH10	protocadherin 10	57575	ENSG00000138650	4	1	0.0554818610894805	True	0.05192797312799699	33.0	Rare Single Gene Mutation, Functional	2.0		0	12
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	3359	ENSG00000166736	11	1	0.0554818610894805	True	0.04541130662726285	42.0	Rare Single Gene Mutation, Genetic Association, Functional	2.0		0	9
GABBR2	gamma-aminobutyric acid type B receptor subunit 2	9568	ENSG00000136928	9	1	0.0554818610894805	True	0.038438683682111834	52.0	Rare Single Gene Mutation, Syndromic, Functional	2.0		1	16
GPR85	G protein-coupled receptor 85	54329	ENSG00000164604	7	1	0.0554818610894805	True	0.03324518504324544	62.0	Rare Single Gene Mutation, Genetic Association	2.0		0	6
SLC45A1	solute carrier family 45 member 1	50651	ENSG00000162426	1	1	0.0554818610894805	True	0.032097747824016636	66.0	Rare Single Gene Mutation, Syndromic			1	6
CASKIN1	CASK interacting protein 1	57524	ENSG00000167971	16	1	0.0554818610894805	True	0.02821863240398949	79.0	Rare Single Gene Mutation, Functional	2.0		0	9
MAP1A	microtubule associated protein 1A	4130	ENSG00000166963	15	1	0.0554818610894805	True	0.02602115595261894	90.0	Rare Single Gene Mutation	1.0	0.0	0	4
HCN1	Hyperpolarization activated cyclic nucleotide-gated potassium channel 1	348980	ENSG00000164588	5	1	0.0554818610894805	True	0.02415416582524647	96.0	Rare Single Gene Mutation, Genetic Association	3.0		0	15
NTRK3	neurotrophic tyrosine kinase, receptor, type 3	4916	ENSG00000140538	15	1	0.0554818610894805	True	0.024054461632915206	97.0	Rare Single Gene Mutation, Syndromic, Genetic Association	2.0		0	15
KCNB1	potassium voltage-gated channel subfamily B member 1	3745	ENSG00000158445	20	1	0.0554818610894805	True	0.02361316548490165	101.0	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1.0		1	31
CDH2	cadherin 2	1000	ENSG00000170558	18	1	0.0554818610894805	True	0.022945432711133154	104.0	Rare Single Gene Mutation, Syndromic	3.0		1	8
CIB2	Calcium and integrin binding family member 2	10518	ENSG00000136425	15	1	0.0554818610894805	True	0.022460976127462295	108.0	Rare Single Gene Mutation	2.0		0	2
VWA7	von Willebrand factor A domain containing 7	80737	ENSG00000204396	6	1	0.0554818610894805	True	0.022414566419993627	109.0	Rare Single Gene Mutation	3.0		0	3
CNTNAP5	contactin associated protein-like 5	129684	ENSG00000155052	2	1	0.0554818610894805	True	0.022351498798879658	110.0	Rare Single Gene Mutation, Genetic Association	2.0		0	16
SCGN	secretagogin, EF-hand calcium binding protein	10590	ENSG00000079689	6	1	0.0554818610894805	True	0.020951336102639162	120.0	Rare Single Gene Mutation, Functional	3.0		0	4
VASH1	vasohibin 1	22846	ENSG00000071246	14	1	0.0554818610894805	True	0.01933006597674485	134.0	Genetic Association	2.0		0	4
SCN2A	sodium channel, voltage-gated, type II, alpha subunit	6326	ENSG00000136531	2	1	0.0554818610894805	True	0.01909156339461735	136.0	Rare Single Gene Mutation, Syndromic, Functional	1.0	109.3	0	141
CNR1	cannabinoid receptor 1 (brain)	1268	ENSG00000118432	6	1	0.0554818610894805	True	0.01832006682326193	143.0	Rare Single Gene Mutation, Genetic Association	2.0		0	8
ELAVL2	ELAV like neuron-specific RNA binding protein 2	1993	ENSG00000107105	9	1	0.0554818610894805	True	0.018212491858974243	144.0	Rare Single Gene Mutation, Genetic Association, Functional	2.0		0	7
CDH8	cadherin 8, type 2	1006	ENSG00000150394	16	1	0.0554818610894805	True	0.018117580623052618	145.0	Rare Single Gene Mutation	2.0		0	13
PCDHA1	Protocadherin alpha 1	56147	ENSG00000204970	5	1	0.0554818610894805	True	0.016609356562492378	160.0	Rare Single Gene Mutation, Syndromic, Genetic Association	2.0		0	5
DLG4	discs large MAGUK scaffold protein 4	1742	ENSG00000132535	17	1	0.0554818610894805	True	0.016542282262875324	161.0	Rare Single Gene Mutation, Syndromic, Functional	1.0	2.45	0	25
SCN9A	sodium voltage-gated channel alpha subunit 9	6335	ENSG00000169432	2	2	0.2197922538178101	False	0.0524290158878631	22.0	Rare Single Gene Mutation	2.0		0	11
