Gene	Entrez	Cell group	FDR	Associated	Influence score	Influence score rank	In SFARI
MATN1	4146	1	0.0493421829057201	True	0.19153497589329005	1.0	False
CBX6	23466	1	0.0493421829057201	True	0.1384993956353456	2.0	False
SOST	50964	1	0.0493421829057201	True	0.1348631470578174	3.0	False
CELSR3	1951	1	0.0493421829057201	True	0.12597201343214254	4.0	False
TTC9B	148014	1	0.0493421829057201	True	0.11329055034873727	5.0	False
ACKR1	2532	1	0.0493421829057201	True	0.1060538537907332	6.0	False
SLC35D3	340146	1	0.0493421829057201	True	0.10478445359630095	7.0	False
VWC2L	402117	1	0.0493421829057201	True	0.10131893557067449	8.0	False
NXPH4	11247	1	0.0493421829057201	True	0.10077250125981708	9.0	False
RPH3A	22895	1	0.0493421829057201	True	0.09529402210819198	10.0	True
GNG13	51764	1	0.0493421829057201	True	0.09221214547696424	11.0	False
JAKMIP3	282973	1	0.0493421829057201	True	0.09152230218831175	12.0	False
SEMA6C	10500	1	0.0493421829057201	True	0.08825725792550777	13.0	False
RTBDN	83546	1	0.0493421829057201	True	0.08471806090639035	14.0	False
DEFB136	613210	1	0.0493421829057201	True	0.08448432123889683	15.0	False
SLC1A7	6512	1	0.0493421829057201	True	0.08380737980084722	16.0	False
MYBPH	4608	1	0.0493421829057201	True	0.0816825175619113	17.0	False
NCAN	1463	1	0.0493421829057201	True	0.07953249186666997	18.0	False
NEFH	4744	1	0.0493421829057201	True	0.07656857172216246	19.0	False
CPLX1	10815	1	0.0493421829057201	True	0.07542286161519467	20.0	False
MRGPRE	116534	1	0.0493421829057201	True	0.07363711807991409	21.0	False
SEPTIN3	55964	1	0.0493421829057201	True	0.0694144495789593	22.0	False
NOG	9241	1	0.0493421829057201	True	0.0686681007389252	23.0	False
KNDC1	85442	1	0.0493421829057201	True	0.06835750711757381	24.0	False
SCN9A	6335	1	0.0493421829057201	True	0.06773741266753587	25.0	True
MYL1	4632	1	0.0493421829057201	True	0.06626117099340405	26.0	False
HTR1B	3351	1	0.0493421829057201	True	0.06540943611974259	27.0	True
NPTXR	23467	1	0.0493421829057201	True	0.0648744309206649	28.0	False
C3orf80	401097	1	0.0493421829057201	True	0.06186251312056335	29.0	False
TRIM67	440730	1	0.0493421829057201	True	0.060110043483477614	30.0	False
GLDN	342035	1	0.0493421829057201	True	0.05973434453116533	31.0	False
CHRNA5	1138	1	0.0493421829057201	True	0.05933499231820422	32.0	False
PCDH10	57575	1	0.0493421829057201	True	0.05712994749658273	33.0	True
